,ret_mean,ret_lo,ret_hi,px_mean,px_lo,px_hi
2024-01-01,-0.0022851000905232243,-0.07294166494882337,0.06837146476777692,247.91219406680884,230.35545113269583,265.4689370009218
2024-01-02,-0.0005874293254825773,-0.0712542360887104,0.07007937743774525,247.76656317386926,213.9416494333653,284.07283483500646
2024-01-03,0.0015750830140220436,-0.06912433353613066,0.07227449956417474,248.15681607896704,199.15307550066342,304.60405681248295
2024-01-04,0.0015633736397274642,-0.0691794655618858,0.07230621284134071,248.54477790374358,185.37577217252164,326.6288225767022
2024-01-05,-0.00030817339875268876,-0.07105125475375394,0.07043490795624856,248.46818301479473,172.20459095871794,349.63489363075
2024-01-08,-0.001554171497742628,-0.07233338943986,0.06922504644437473,248.08202084665726,159.7484492175692,373.8383853809127
2024-01-09,-0.0007774938818478005,-0.07156970638416038,0.07001471862046477,247.8891385932525,148.31529961174283,400.01257474288616
2024-01-10,0.0008175949794851132,-0.06998223270276148,0.0716174226617317,248.09181150843526,137.93586380093404,428.66044437825497
2024-01-11,0.001218786013418514,-0.06960562909815095,0.07204320112498798,248.39418233834542,128.33475122587316,459.54251498692435
2024-01-12,0.00011337200114118484,-0.07071194215941543,0.0709386861616978,248.42234328386894,119.25995172014626,492.14185723553913
2024-01-15,-0.0009742799420105923,-0.07181281076201093,0.06986425087798975,248.18031037766022,110.69555937578083,526.5249794170027
2024-01-16,-0.0007515941462805217,-0.07160073878106538,0.07009755048850433,247.99377950915826,102.76967554469165,563.4330907451448
2024-01-17,0.00033521762633387925,-0.07051482090845912,0.07118525616112686,248.07691139527088,95.52289027883727,603.5412196394933
2024-01-18,0.0008727174765034367,-0.0699891726584069,0.07173460761141379,248.29341245136254,88.83732221828167,646.8360122076464
2024-01-19,0.0002968286299664655,-0.07056729541427084,0.07116095267420378,248.3671130448102,82.56831265749142,692.8654790603256
2024-01-22,-0.0005529054727033524,-0.07142088376307457,0.07031507281766786,248.2297895087682,76.67121079666752,741.5843656733006
2024-01-23,-0.000626894433625493,-0.07150166369285434,0.07024787482560334,248.0741756354651,71.18909166736026,793.679091365743
2024-01-24,5.5762513166366116e-05,-0.070819009202464,0.07093053422879675,248.08800887495022,66.14755072945444,849.9751733225411
2024-01-25,0.0005776928432656483,-0.07030195194782014,0.07145733763435143,248.23132754217733,61.49724879660633,910.7121362634664
2024-01-26,0.00033966170689566077,-0.07054232568525948,0.0712216490990508,248.31564221859526,57.15908984324869,975.5745564626699
2024-01-29,-0.00026990101378863236,-0.07115265383287664,0.07061285180529939,248.24862157502088,53.09206891022972,1044.4626580431889
2024-01-30,-0.0004738701372633278,-0.07136025746877839,0.07041251719425173,248.1309839666397,49.3034052032456,1118.0059029114088
2024-01-31,-8.543302176506799e-05,-0.07097209596725704,0.0708012299237269,248.10978538688585,45.8042391976483,1197.1620958995231
2024-02-01,0.00035105058605752184,-0.07053727737531942,0.07123937854743448,248.19688447245255,42.5733328723983,1282.4471796319494
2024-02-02,0.0003092352865640462,-0.0705808317364486,0.07119930230957668,248.27363570714672,39.56847162847174,1373.7565240706288
2024-02-05,-9.499773453295918e-05,-0.07098511604654623,0.0707951205774803,248.25005027421028,36.75969907814021,1471.0117828363093
2024-02-06,-0.00033026175855991924,-0.07122204121878464,0.0705615177016648,248.16806277604414,34.14159827520679,1574.8086067902711
2024-02-07,-0.00013978469909731823,-0.07103201211968174,0.07075244272148712,248.1333726780634,31.716451852736995,1686.2301625395046
2024-02-08,0.00019080840416363354,-0.07070185647897258,0.07108347328729984,248.18071861092383,29.47403982582254,1806.0932592546208
2024-02-09,0.0002485298510339969,-0.07064517714364499,0.07114223684571297,248.2423989279497,27.39184106118846,1934.5827736699584
